,Dates,forecast
0,2022-05-18,27597.680133605885
1,2022-05-19,26184.35754527805
2,2022-05-20,25040.72846471588
3,2022-05-21,23993.784627330926
4,2022-05-22,23056.106276686303
5,2022-05-23,22199.778729185695
6,2022-05-24,21415.584058039283
7,2022-05-25,20692.988050252534
8,2022-05-26,20039.684408500412
9,2022-05-27,19452.616837839625
10,2022-05-28,18920.493917414205
11,2022-05-29,18435.704335041883
12,2022-05-30,17992.592571902685
13,2022-05-31,17586.387826133912
14,2022-06-01,17213.108871427852
15,2022-06-02,16869.374755066427
16,2022-06-03,16552.28709721734
17,2022-06-04,16259.341815406196
18,2022-06-05,15988.361446611774
19,2022-06-06,15737.43335439652
20,2022-06-07,15504.866571981796
21,2022-06-08,15289.159434554322
22,2022-06-09,15088.965249894218
23,2022-06-10,14903.07464326943
24,2022-06-11,14730.39201729496
25,2022-06-12,14569.922801023278
26,2022-06-13,14420.76266071314
27,2022-06-14,14282.081806402408
28,2022-06-15,14153.123030229648
29,2022-06-16,14033.184051328559
