,Date,Train Predict,Test Predict
0,2017-05-17,,
1,2017-05-18,,
2,2017-05-19,,
3,2017-05-20,,
4,2017-05-21,,
5,2017-05-22,,
6,2017-05-23,,
7,2017-05-24,,
8,2017-05-25,,
9,2017-05-26,,
10,2017-05-27,,
11,2017-05-28,,
12,2017-05-29,,
13,2017-05-30,,
14,2017-05-31,,
15,2017-06-01,,
16,2017-06-02,,
17,2017-06-03,,
18,2017-06-04,,
19,2017-06-05,,
20,2017-06-06,,
21,2017-06-07,,
22,2017-06-08,,
23,2017-06-09,,
24,2017-06-10,,
25,2017-06-11,,
26,2017-06-12,,
27,2017-06-13,,
28,2017-06-14,,
29,2017-06-15,,
30,2017-06-16,,
31,2017-06-17,,
32,2017-06-18,,
33,2017-06-19,,
34,2017-06-20,,
35,2017-06-21,,
36,2017-06-22,,
37,2017-06-23,,
38,2017-06-24,,
39,2017-06-25,,
40,2017-06-26,,
41,2017-06-27,,
42,2017-06-28,,
43,2017-06-29,,
44,2017-06-30,,
45,2017-07-01,,
46,2017-07-02,,
47,2017-07-03,,
48,2017-07-04,,
49,2017-07-05,,
50,2017-07-06,,
51,2017-07-07,,
52,2017-07-08,,
53,2017-07-09,,
54,2017-07-10,,
55,2017-07-11,,
56,2017-07-12,,
57,2017-07-13,,
58,2017-07-14,,
59,2017-07-15,,
60,2017-07-16,,
61,2017-07-17,,
62,2017-07-18,,
63,2017-07-19,,
64,2017-07-20,,
65,2017-07-21,,
66,2017-07-22,,
67,2017-07-23,,
68,2017-07-24,,
69,2017-07-25,,
70,2017-07-26,,
71,2017-07-27,,
72,2017-07-28,,
73,2017-07-29,,
74,2017-07-30,,
75,2017-07-31,,
76,2017-08-01,,
77,2017-08-02,,
78,2017-08-03,,
79,2017-08-04,,
80,2017-08-05,,
81,2017-08-06,,
82,2017-08-07,,
83,2017-08-08,,
84,2017-08-09,,
85,2017-08-10,,
86,2017-08-11,,
87,2017-08-12,,
88,2017-08-13,,
89,2017-08-14,,
90,2017-08-15,,
91,2017-08-16,,
92,2017-08-17,,
93,2017-08-18,,
94,2017-08-19,,
95,2017-08-20,,
96,2017-08-21,,
97,2017-08-22,,
98,2017-08-23,,
99,2017-08-24,,
100,2017-08-25,5065.189453125,
101,2017-08-26,5245.45166015625,
102,2017-08-27,5273.03759765625,
103,2017-08-28,5264.37255859375,
104,2017-08-29,5305.203125,
105,2017-08-30,5309.5478515625,
106,2017-08-31,5476.87646484375,
107,2017-09-01,5456.37646484375,
108,2017-09-02,5603.8134765625,
109,2017-09-03,5773.1455078125,
110,2017-09-04,5501.70361328125,
111,2017-09-05,5537.61962890625,
112,2017-09-06,5188.4970703125,
113,2017-09-07,5343.70068359375,
114,2017-09-08,5492.25927734375,
115,2017-09-09,5509.6796875,
116,2017-09-10,5182.11767578125,
117,2017-09-11,5201.248046875,
118,2017-09-12,5075.61328125,
119,2017-09-13,5124.02978515625,
120,2017-09-14,5072.26318359375,
121,2017-09-15,4841.798828125,
122,2017-09-16,4264.77001953125,
123,2017-09-17,4650.11083984375,
124,2017-09-18,4533.28369140625,
125,2017-09-19,4548.828125,
126,2017-09-20,4980.16943359375,
127,2017-09-21,4810.541015625,
128,2017-09-22,4844.29296875,
129,2017-09-23,4577.6259765625,
130,2017-09-24,4603.26708984375,
131,2017-09-25,4733.17041015625,
132,2017-09-26,4618.044921875,
133,2017-09-27,4862.3115234375,
134,2017-09-28,4804.79541015625,
135,2017-09-29,5109.3603515625,
136,2017-09-30,5064.314453125,
137,2017-10-01,5091.57080078125,
138,2017-10-02,5248.3125,
139,2017-10-03,5295.60302734375,
140,2017-10-04,5320.09326171875,
141,2017-10-05,5245.2333984375,
142,2017-10-06,5173.65087890625,
143,2017-10-07,5258.314453125,
144,2017-10-08,5288.24755859375,
145,2017-10-09,5347.47412109375,
146,2017-10-10,5512.38525390625,
147,2017-10-11,5654.2236328125,
148,2017-10-12,5675.36474609375,
149,2017-10-13,5725.69091796875,
150,2017-10-14,6280.87939453125,
151,2017-10-15,6417.96630859375,
152,2017-10-16,6630.00244140625,
153,2017-10-17,6516.9658203125,
154,2017-10-18,6595.2978515625,
155,2017-10-19,6471.783203125,
156,2017-10-20,6470.17578125,
157,2017-10-21,6564.1767578125,
158,2017-10-22,6803.1826171875,
159,2017-10-23,6837.9443359375,
160,2017-10-24,6835.79931640625,
161,2017-10-25,6783.38330078125,
162,2017-10-26,6443.8525390625,
163,2017-10-27,6637.43896484375,
164,2017-10-28,6725.587890625,
165,2017-10-29,6646.68603515625,
166,2017-10-30,6626.642578125,
